delta_abs_error,Solvent_Name
0.1859297156333924,Ethylene glycol
0.0962638854980468,Ethylene glycol
-0.0011361837387084,Ethylene glycol
0.0455893278121948,Ethylene glycol
0.0284612178802489,Ethylene glycol
0.0672166645526886,Ethylene glycol
0.0223565101623534,Ethylene glycol
-0.0510281920433045,Ethylene glycol
0.0274321734905242,Ethylene glycol
0.0280857533216476,Ethylene glycol
0.136711594357621,Ethylene glycol
-0.1614277958869934,Cyclohexane
-0.0608606934547424,Cyclohexane
-0.2077952325344084,Cyclohexane
-0.2446602284908293,Cyclohexane
-0.1801516413688659,Cyclohexane
-0.186381310224533,Cyclohexane
-0.1822392642498016,Cyclohexane
-0.2471262761391697,Cyclohexane
0.0841250419616699,Cyclohexane
0.065909743309021,Cyclohexane
0.0056921984662312,Cyclohexane
-0.0393098592758179,Cyclohexane
-0.0020389556884765,Cyclohexane
0.0382428169250488,Cyclohexane
0.0448894382729054,Cyclohexane
0.0938545450578622,Cyclohexane
-0.0194990914980215,Cyclohexane
-0.0886991892109866,Cyclohexane
-0.1706642359495163,Cyclohexane
-0.1571600474417209,Cyclohexane
-0.3947304487228396,Cyclohexane
-0.3475196063518524,Cyclohexane
-0.3909394443035126,Cyclohexane
-0.3809361159801484,Cyclohexane
-0.312463089823723,Cyclohexane
-0.203910544514656,Cyclohexane
-0.16282320022583,Cyclohexane
-0.2034444566816091,Cyclohexane
0.0115987472236157,NMP
0.0789855569601059,NMP
0.0682646483182907,NMP
0.0139780044555664,NMP
-0.0992295593023299,NMP
-0.1186743080615997,NMP
-0.1227334141731263,NMP
-0.0461192727088929,NMP
-0.034860908985138,NMP
0.0443530959575603,n-Propyl acetate
0.008081292630325,n-Propyl acetate
0.0671143686605988,n-Propyl acetate
0.0748189029827092,n-Propyl acetate
-0.0280841142179312,n-Propyl acetate
0.084549445031671,n-Propyl acetate
-0.0459931707956764,n-Propyl acetate
-0.1380100636383646,n-Propyl acetate
-0.1033086627721786,n-Propyl acetate
-0.0921115875244141,n-Propyl acetate
-0.1942119391016765,Ethylene glycol
-0.0873852821638787,Ethylene glycol
0.0689352576369613,Ethylene glycol
-0.1109507104853398,Ethylene glycol
-0.1788548001534703,Ethylene glycol
-0.0331946006502697,Ethylene glycol
0.2004055340031028,Ethylene glycol
0.1402601865030875,Ethylene glycol
-0.2078105211257934,Cyclohexane
-0.2182103395462037,Cyclohexane
-0.1851498484611511,Cyclohexane
-0.1122745871543884,Cyclohexane
-0.0486416816711426,Cyclohexane
-0.0036151111125945,Cyclohexane
0.0410065948955934,Cyclohexane
0.0022473782300948,Cyclohexane
-0.0279802829027176,Cyclohexane
-0.0346233826130628,Cyclohexane
0.0508719086647034,n-Propyl acetate
0.0309398770332337,n-Propyl acetate
0.0242294669151306,n-Propyl acetate
0.007793664932251,n-Propyl acetate
-0.0199750661849976,n-Propyl acetate
-0.0011292099952697,n-Propyl acetate
-0.0565396547317504,n-Propyl acetate
0.0156288409196272,n-Propyl acetate
-0.0632690489292145,n-Propyl acetate
-0.0448229676053654,n-Propyl acetate
-0.174788236618042,Ethylene glycol
-0.2172765731811523,Ethylene glycol
-0.1449511051177978,Ethylene glycol
-0.0878215432167053,Ethylene glycol
-0.1295649409294128,Ethylene glycol
-0.1715696454048156,Ethylene glycol
-0.179292619228363,Ethylene glycol
-0.2116861939430236,Ethylene glycol
-0.1526670157909393,Ethylene glycol
-0.1458640992641449,Ethylene glycol
0.3241865038871765,NMP
0.2693121433258056,NMP
0.3191154003143311,NMP
0.4597950875759125,NMP
0.4593238085508347,NMP
0.0046561956405638,DMSO
-0.1049739122390747,DMSO
-0.141608789884699,DMSO
-0.1733425823180365,DMSO
0.0379720709985182,DMSO
0.0667583942413329,Ethylene glycol
-0.0290315747261047,Ethylene glycol
-0.1137258112430572,Ethylene glycol
-0.078359454870224,Ethylene glycol
0.0915808677673339,Ethylene glycol
0.172992467880249,Ethylene glycol
0.1788669303059578,Ethylene glycol
0.2898392304778099,Ethylene glycol
0.2260247170925141,Ethylene glycol
0.1225191619576835,Ethylene glycol
0.3754386901855469,n-Propyl acetate
0.3917404413223266,n-Propyl acetate
0.2816518545150757,n-Propyl acetate
0.1280049085617066,n-Propyl acetate
0.1348345279693604,n-Propyl acetate
0.157436728477478,n-Propyl acetate
0.1196155548095703,n-Propyl acetate
0.089020848274231,n-Propyl acetate
0.1764439344406128,n-Propyl acetate
0.2473503351211547,DMSO
0.2533906698226928,DMSO
0.2299885749816894,DMSO
0.2031754255294799,DMSO
0.121611475944519,DMSO
0.0819376707077026,DMSO
0.0432640314102172,DMSO
-0.681005597114563,DMSO
-0.59244629368186,DMSO
-0.6130898967385292,DMSO
-0.6027042865753174,DMSO
-0.4890722632408142,DMSO
-0.364423394203186,DMSO
-0.268172025680542,DMSO
-0.2258731722831726,Ethylene glycol
-0.2501094937324523,Ethylene glycol
-0.2910410761833191,Ethylene glycol
-0.2851535081863403,Ethylene glycol
-0.430927276611328,Ethylene glycol
-0.4207681119441986,Ethylene glycol
-0.3918784558773041,Ethylene glycol
-0.4228842556476593,Ethylene glycol
-0.3230115696787834,Ethylene glycol
-0.1984084313735366,Ethylene glycol
-0.84171986579895,Cyclohexane
-0.8134377002716063,Cyclohexane
-0.5679318904876707,Cyclohexane
-0.6267426013946533,Cyclohexane
-0.5823616981506348,Cyclohexane
