LogS,split
-1.6468271949875612,training/common sample
0.5117890325656522,training/common sample
-0.7409179376394142,training/common sample
-3.7268578972892192,training/common sample
-1.462325936023859,training/common sample
-0.2534973805341409,training/common sample
-1.037989979867878,training/common sample
0.3638936846160129,training/common sample
-0.593232354745211,training/common sample
-0.24173507367756,training/common sample
-1.7645129245787046,training/common sample
-0.5705976272792779,training/common sample
-0.0653641050026209,training/common sample
-4.826510884857313,training/common sample
-1.613263527067845,training/common sample
-0.9425183270820002,training/common sample
-2.6867957829247655,training/common sample
0.4234635486795399,training/common sample
-0.4794572085605725,training/common sample
-0.2749472139912703,training/common sample
-1.5611600320217722,training/common sample
-0.4310915261726429,training/common sample
-2.811736878562179,training/common sample
-0.6794120477097328,training/common sample
0.031400364455067,training/common sample
-1.4898855849531434,training/common sample
0.4530852857486324,training/common sample
-3.110675214759165,training/common sample
-2.5124786450282355,training/common sample
-1.8165171016414785,training/common sample
-1.218506122529207,training/common sample
-0.4627825628975727,training/common sample
0.6714353090691442,training/common sample
-1.5101908473403955,training/common sample
-0.2699751321794341,training/common sample
-0.4214442913263125,training/common sample
-1.4630780267557164,training/common sample
-2.827005690409066,training/common sample
-0.8296959883947223,training/common sample
-1.1998885964050576,training/common sample
-0.6753215312536572,training/common sample
-0.3397488326007111,training/common sample
-0.2960336772642949,training/common sample
-1.786260780687792,training/common sample
-2.292500238113553,training/common sample
-1.5989545456426977,training/common sample
-1.9349849444865193,training/common sample
-2.298014881483761,training/common sample
-1.929007592450448,training/common sample
-0.8096936303917465,training/common sample
0.6374338452891722,training/common sample
-0.4800096704615939,training/common sample
-2.1146333050514903,training/common sample
0.2083417754530693,training/common sample
0.9446185980959676,training/common sample
-2.57920927730485,training/common sample
-1.0133803092417424,training/common sample
-0.5385426514052505,training/common sample
-1.1076638778130945,training/common sample
-0.0987840940958347,training/common sample
-1.3921642976343476,training/common sample
-0.8045940051515214,training/common sample
0.3686987859956144,training/common sample
-0.4092205259536355,training/common sample
-3.5236641902420747,training/common sample
-1.7080677128781905,training/common sample
-1.831980365153016,training/common sample
-2.620856116827278,training/common sample
0.7562440629107834,training/common sample
0.5972063740579443,training/common sample
-0.1766513175585837,training/common sample
-2.771994148867266,training/common sample
-0.874025677915864,training/common sample
0.9543592930662084,training/common sample
-1.6960080966326097,training/common sample
-1.4672356400260458,training/common sample
-1.5473934572619323,training/common sample
-0.0111726990069245,training/common sample
0.0424222631964791,training/common sample
-2.4994365452799947,training/common sample
