model,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
class_cross_top33_valshap,48,CN1CCCC1=O,NMP,1049,0.6091094630738106,0.37334688621596773,0.49010407638995224
class_cross_top33_valshap,48,CCCOC(C)=O,n-Propyl acetate,1046,0.8784177417956538,0.2206287901057054,0.2799535751268249
class_cross_top33_valshap,48,CS(C)=O,DMSO,1076,0.6877244535721667,0.44533495555927194,0.576400226065333
class_cross_top33_valshap,48,OCCO,Ethylene glycol,1111,0.7375941980433613,0.4088769148742183,0.5386042595730666
class_cross_top47_valshap,48,C1CCCCC1,Cyclohexane,1142,0.6927400713899137,0.60963154631312,0.7926013170304319
class_cross_top47_valshap,48,CN1CCCC1=O,NMP,1049,0.7463522364581763,0.30666669881344133,0.39479919191743434
class_cross_top47_valshap,48,CCCOC(C)=O,n-Propyl acetate,1046,0.9124273184991627,0.1834061354509877,0.237593874271088
class_cross_top47_valshap,48,CS(C)=O,DMSO,1076,0.6779440913699988,0.45597021309075453,0.5853569642086597
class_cross_top47_valshap,48,OCCO,Ethylene glycol,1111,0.7355168068066322,0.4038010770711071,0.5407320440906204
class_cross_top60_valshap,48,C1CCCCC1,Cyclohexane,1142,0.6159993390087638,0.7037347675955333,0.8860695515924253
class_cross_top60_valshap,48,CN1CCCC1=O,NMP,1049,0.6923583327736509,0.33906109435275855,0.43479377190431906
class_cross_top60_valshap,48,CCCOC(C)=O,n-Propyl acetate,1046,0.90623014931567,0.18699031093812912,0.24585697142131716
class_cross_top60_valshap,48,CS(C)=O,DMSO,1076,0.6601599121876778,0.4535765250431788,0.6013017359228695
class_cross_top60_valshap,48,OCCO,Ethylene glycol,1111,0.7276471311451935,0.4102210927506083,0.5487177944391597
v1,49,C1CCCCC1,Cyclohexane,1142,0.48371634349624115,0.8041949989896122,1.027415268689024
v1,49,CN1CCCC1=O,NMP,1049,0.37999499030151696,0.4853553960593969,0.6172460731693362
v1,49,CCCOC(C)=O,n-Propyl acetate,1046,0.9248937717365651,0.15687969760631115,0.22003354289964194
v1,49,CS(C)=O,DMSO,1076,0.21144206624706186,0.7616247748757645,0.9159504002645321
v1,49,OCCO,Ethylene glycol,1111,0.7372547611208509,0.40497963968829576,0.53895250470795
v2,49,C1CCCCC1,Cyclohexane,1142,0.5745981807697722,0.7350571105963609,0.9326130718763167
v2,49,CN1CCCC1=O,NMP,1049,0.6447860681352873,0.3602687800536955,0.4672031172917923
v2,49,CCCOC(C)=O,n-Propyl acetate,1046,0.9162015943890722,0.1799691140122915,0.23241748270055013
v2,49,CS(C)=O,DMSO,1076,0.5942344285060733,0.5072911552177514,0.6570414247384156
v2,49,OCCO,Ethylene glycol,1111,0.7225339288111619,0.4201863121104035,0.553844706813046
class_cross_full98,49,C1CCCCC1,Cyclohexane,1142,0.5691517892266542,0.7453711004547764,0.9385641764997377
class_cross_full98,49,CN1CCCC1=O,NMP,1049,0.717613766594319,0.32602625376052796,0.4165647306429544
class_cross_full98,49,CCCOC(C)=O,n-Propyl acetate,1046,0.9212536944289814,0.17555137548620453,0.2253024991530286
class_cross_full98,49,CS(C)=O,DMSO,1076,0.6327685433635913,0.4834161623335873,0.6250648704916523
class_cross_full98,49,OCCO,Ethylene glycol,1111,0.7164079571850068,0.4244932916231467,0.5599252950996049
class_cross_top33_valshap,49,C1CCCCC1,Cyclohexane,1142,0.6250283455419487,0.6832043805930266,0.8755905112495377
class_cross_top33_valshap,49,CN1CCCC1=O,NMP,1049,0.6542139627707881,0.36442860941311467,0.46096129672985237
class_cross_top33_valshap,49,CCCOC(C)=O,n-Propyl acetate,1046,0.8537736779049544,0.2481469805877436,0.3070178977422729
class_cross_top33_valshap,49,CS(C)=O,DMSO,1076,0.6100591225583769,0.5145248546204367,0.6441018347852719
class_cross_top33_valshap,49,OCCO,Ethylene glycol,1111,0.7271735909704646,0.40391934297791104,0.5491946153249756
class_cross_top47_valshap,49,C1CCCCC1,Cyclohexane,1142,0.65623370951679,0.6506092235020979,0.8383656404264254
class_cross_top47_valshap,49,CN1CCCC1=O,NMP,1049,0.7328181612257938,0.3124413777718694,0.4051951174824005
class_cross_top47_valshap,49,CCCOC(C)=O,n-Propyl acetate,1046,0.9083551669649585,0.19179326462866586,0.24305519466814052
class_cross_top47_valshap,49,CS(C)=O,DMSO,1076,0.6949894769250893,0.4284976384962302,0.569655855059265
class_cross_top47_valshap,49,OCCO,Ethylene glycol,1111,0.7234376966588394,0.4073279448802204,0.5529419742743953
class_cross_top60_valshap,49,C1CCCCC1,Cyclohexane,1142,0.6114572100947786,0.6900519574576799,0.8912945565192
class_cross_top60_valshap,49,CN1CCCC1=O,NMP,1049,0.7016150069941329,0.33459180417739637,0.42820252592330255
class_cross_top60_valshap,49,CCCOC(C)=O,n-Propyl acetate,1046,0.9210507223101664,0.1746183611840615,0.2255926759133993
class_cross_top60_valshap,49,CS(C)=O,DMSO,1076,0.6505406912055989,0.46510314164429756,0.6097523191176898
