seed,top_k,rank,feature
44,60,46,Cross_HB_capacity_product
44,60,47,Cross_pos_area_abs_gap
44,60,48,Solute_NumHAcceptors
44,60,49,Solvent_LabuteASA
44,60,50,Class_nonpolar_x_nonpolar_match
44,60,51,Solvent_M_hb_acc
44,60,52,Solvent_self_hbond_proxy
44,60,53,Solute_signed_surface_imbalance
44,60,54,Solvent_MinAbsPartialCharge
44,60,55,Class_nonpolar_x_solute_sigma2
44,60,56,Solvent_signed_surface_imbalance
44,60,57,Cross_HBA_solute_x_HBD_solvent
44,60,58,Solvent_MinPartialCharge
44,60,59,Cross_temperature_x_sigma2_gap
44,60,60,Class_nonpolar_x_solute_TPSA_density
45,33,1,Solute_BertzCT
45,33,2,Temperature_K
45,33,3,Solute_TPSA
45,33,4,Solute_HB_capacity
45,33,5,Solute_MolLogP
45,33,6,Solvent_MaxPartialCharge
45,33,7,Solute_MolWt
45,33,8,Solute_BalabanJ
45,33,9,Solvent_pos_area_frac
45,33,10,Solute_polar_surface_density
45,33,11,Solute_MaxPartialCharge
45,33,12,Solute_NumRotatableBonds
45,33,13,Solute_NumAromaticRings
45,33,14,Solute_M_hb_don
45,33,15,Cross_sigma2_abs_gap
45,33,16,Solute_LabuteASA
45,33,17,Solute_sig3
45,33,18,Solute_MinAbsPartialCharge
45,33,19,Solute_RingCount
45,33,20,Solute_sig2
45,33,21,Cross_logP_abs_gap
45,33,22,Solute_M_nonpolar
45,33,23,Solute_HeavyAtomCount
45,33,24,Cross_TPSA_density_abs_gap
45,33,25,Solvent_BalabanJ
45,33,26,Cross_HB_directional_balance
45,33,27,Solute_MaxAbsPartialCharge
45,33,28,Solute_MinPartialCharge
45,33,29,Cross_hb_don_moment_product
45,33,30,Solvent_MolLogP
45,33,31,Solute_M_hb_acc
45,33,32,Solvent_neg_area_frac
45,33,33,Cross_surface_imbalance_product
45,47,1,Solute_BertzCT
45,47,2,Temperature_K
45,47,3,Solute_TPSA
45,47,4,Solute_HB_capacity
45,47,5,Solute_MolLogP
45,47,6,Solvent_MaxPartialCharge
45,47,7,Solute_MolWt
45,47,8,Solute_BalabanJ
45,47,9,Solvent_pos_area_frac
45,47,10,Solute_polar_surface_density
45,47,11,Solute_MaxPartialCharge
45,47,12,Solute_NumRotatableBonds
45,47,13,Solute_NumAromaticRings
45,47,14,Solute_M_hb_don
45,47,15,Cross_sigma2_abs_gap
45,47,16,Solute_LabuteASA
45,47,17,Solute_sig3
45,47,18,Solute_MinAbsPartialCharge
45,47,19,Solute_RingCount
45,47,20,Solute_sig2
45,47,21,Cross_logP_abs_gap
45,47,22,Solute_M_nonpolar
45,47,23,Solute_HeavyAtomCount
45,47,24,Cross_TPSA_density_abs_gap
45,47,25,Solvent_BalabanJ
45,47,26,Cross_HB_directional_balance
45,47,27,Solute_MaxAbsPartialCharge
45,47,28,Solute_MinPartialCharge
45,47,29,Cross_hb_don_moment_product
45,47,30,Solvent_MolLogP
45,47,31,Solute_M_hb_acc
45,47,32,Solvent_neg_area_frac
45,47,33,Cross_surface_imbalance_product
45,47,34,Solvent_sigma_asymmetry_abs
45,47,35,Solute_pos_area_frac
45,47,36,Cross_nonpolar_match
45,47,37,Solvent_hydrophobic_density
45,47,38,Solute_NumHDonors
45,47,39,Solvent_sig3
45,47,40,Solute_neg_area_frac
45,47,41,Solvent_sig2
45,47,42,Class_ester_x_solute_HBD
45,47,43,Class_ester_x_solute_TPSA_density
45,47,44,Cross_sigma3_abs_gap
45,47,45,Solvent_self_hbond_proxy
45,47,46,Solute_NumHAcceptors
45,47,47,Cross_acc_to_don_surface
45,60,1,Solute_BertzCT
45,60,2,Temperature_K
45,60,3,Solute_TPSA
45,60,4,Solute_HB_capacity
45,60,5,Solute_MolLogP
45,60,6,Solvent_MaxPartialCharge
45,60,7,Solute_MolWt
45,60,8,Solute_BalabanJ
45,60,9,Solvent_pos_area_frac
45,60,10,Solute_polar_surface_density
45,60,11,Solute_MaxPartialCharge
45,60,12,Solute_NumRotatableBonds
45,60,13,Solute_NumAromaticRings
45,60,14,Solute_M_hb_don
45,60,15,Cross_sigma2_abs_gap
45,60,16,Solute_LabuteASA
45,60,17,Solute_sig3
45,60,18,Solute_MinAbsPartialCharge
45,60,19,Solute_RingCount
45,60,20,Solute_sig2
45,60,21,Cross_logP_abs_gap
45,60,22,Solute_M_nonpolar
45,60,23,Solute_HeavyAtomCount
45,60,24,Cross_TPSA_density_abs_gap
45,60,25,Solvent_BalabanJ
45,60,26,Cross_HB_directional_balance
45,60,27,Solute_MaxAbsPartialCharge
45,60,28,Solute_MinPartialCharge
45,60,29,Cross_hb_don_moment_product
45,60,30,Solvent_MolLogP
45,60,31,Solute_M_hb_acc
45,60,32,Solvent_neg_area_frac
45,60,33,Cross_surface_imbalance_product
45,60,34,Solvent_sigma_asymmetry_abs
45,60,35,Solute_pos_area_frac
45,60,36,Cross_nonpolar_match
45,60,37,Solvent_hydrophobic_density
45,60,38,Solute_NumHDonors
45,60,39,Solvent_sig3
45,60,40,Solute_neg_area_frac
45,60,41,Solvent_sig2
45,60,42,Class_ester_x_solute_HBD
45,60,43,Class_ester_x_solute_TPSA_density
45,60,44,Cross_sigma3_abs_gap
45,60,45,Solvent_self_hbond_proxy
45,60,46,Solute_NumHAcceptors
45,60,47,Cross_acc_to_don_surface
45,60,48,Class_nonpolar_x_nonpolar_match
45,60,49,Cross_HB_capacity_product
45,60,50,Cross_pos_area_abs_gap
45,60,51,Solute_signed_surface_imbalance
45,60,52,Solvent_signed_surface_imbalance
45,60,53,Class_nonpolar_x_solute_sigma2
45,60,54,Cross_don_to_acc_surface
45,60,55,Cross_hb_acc_moment_product
45,60,56,Solvent_MinAbsPartialCharge
45,60,57,Cross_HBA_solute_x_HBD_solvent
45,60,58,Solvent_MinPartialCharge
