learner,feature_layer,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
RandomForest,CAT-Solv-47,43,CN1CCCC1=O,NMP,1049,0.2914766442356149,0.5240675829007244,0.6598387580210512
RandomForest,CAT-Solv-47,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9366589478836185,0.1487805596286239,0.20206614294309744
RandomForest,CAT-Solv-47,43,CS(C)=O,DMSO,1076,0.3763952628254773,0.5953718517243667,0.8145351995985993
RandomForest,CAT-Solv-47,43,OCCO,Ethylene glycol,1111,0.6894400659430171,0.4400926346339407,0.5859435527196456
ExtraTrees,CAT-Solv-47,43,C1CCCCC1,Cyclohexane,1142,0.6109200262834517,0.6657906412265566,0.8919104779118507
ExtraTrees,CAT-Solv-47,43,CN1CCCC1=O,NMP,1049,0.6278212388383515,0.37544781784475495,0.4782296837929509
ExtraTrees,CAT-Solv-47,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9655748253422158,0.10260235692054541,0.14896662944575856
ExtraTrees,CAT-Solv-47,43,CS(C)=O,DMSO,1076,0.5420749815343908,0.5282358470383111,0.6979950452721255
ExtraTrees,CAT-Solv-47,43,OCCO,Ethylene glycol,1111,0.6835772389581696,0.4374847982511697,0.5914484867273267
HistGradientBoosting,CAT-Solv-47,43,C1CCCCC1,Cyclohexane,1142,0.6283214659668204,0.6830716222440257,0.8717371749984754
HistGradientBoosting,CAT-Solv-47,43,CN1CCCC1=O,NMP,1049,0.7382650074501075,0.3054551055651629,0.40104363780163466
HistGradientBoosting,CAT-Solv-47,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9237243092344338,0.1585304589201996,0.22173997281135135
HistGradientBoosting,CAT-Solv-47,43,CS(C)=O,DMSO,1076,0.6517074829553104,0.4696574983803025,0.6087335326521957
HistGradientBoosting,CAT-Solv-47,43,OCCO,Ethylene glycol,1111,0.7166240944158353,0.4060435855470238,0.5597118833108524
XGBoost,2D-Min,44,C1CCCCC1,Cyclohexane,1142,0.2197877751387799,1.032558787031018,1.263014110060954
XGBoost,2D-Min,44,CN1CCCC1=O,NMP,1049,-0.25557094326252083,0.7429653283210763,0.8783778277456911
XGBoost,2D-Min,44,CCCOC(C)=O,n-Propyl acetate,1046,0.8969294308722505,0.18542311285890997,0.2577616198438107
XGBoost,2D-Min,44,CS(C)=O,DMSO,1076,0.4214799633252877,0.6277449816359184,0.7845386729704817
XGBoost,2D-Min,44,OCCO,Ethylene glycol,1111,0.544011522640073,0.533693016358184,0.7100027016022502
RandomForest,2D-Min,44,C1CCCCC1,Cyclohexane,1142,0.39064268973492733,0.8700992848124274,1.1161892609694215
RandomForest,2D-Min,44,CN1CCCC1=O,NMP,1049,-0.7977592373402502,0.8990845803168236,1.0510575612242765
RandomForest,2D-Min,44,CCCOC(C)=O,n-Propyl acetate,1046,0.937660119229474,0.12676794978672512,0.20046284928066715
RandomForest,2D-Min,44,CS(C)=O,DMSO,1076,-0.0930461308558086,0.825541771282266,1.0783863937344966
RandomForest,2D-Min,44,OCCO,Ethylene glycol,1111,0.7216223032090062,0.408062121091176,0.5547537999063433
ExtraTrees,2D-Min,44,C1CCCCC1,Cyclohexane,1142,0.26714806544142233,0.982141571556235,1.2240804063241373
ExtraTrees,2D-Min,44,CN1CCCC1=O,NMP,1049,-0.01313676389303775,0.6624815119449414,0.7890322852925656
ExtraTrees,2D-Min,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9424460702012922,0.11575876098467107,0.19261424673490704
ExtraTrees,2D-Min,44,CS(C)=O,DMSO,1076,0.16078963037087213,0.720430788707749,0.9449102819705819
ExtraTrees,2D-Min,44,OCCO,Ethylene glycol,1111,0.687405135586039,0.4183944812784608,0.5878601030422766
HistGradientBoosting,2D-Min,44,C1CCCCC1,Cyclohexane,1142,0.3570167005716368,0.9008935988952101,1.146572901876432
HistGradientBoosting,2D-Min,44,CN1CCCC1=O,NMP,1049,-0.4858001533281133,0.8180764373748418,0.9555225391570438
HistGradientBoosting,2D-Min,44,CCCOC(C)=O,n-Propyl acetate,1046,0.880739480774128,0.20647637192174007,0.27726768933611934
HistGradientBoosting,2D-Min,44,CS(C)=O,DMSO,1076,0.05611386003016394,0.80265238898412,1.0021089905203917
HistGradientBoosting,2D-Min,44,OCCO,Ethylene glycol,1111,0.512771584534326,0.5614061788426281,0.7339210961027949
XGBoost,2D-Elec,44,C1CCCCC1,Cyclohexane,1142,0.538863635055,0.749772499604747,0.9709939252607669
XGBoost,2D-Elec,44,CN1CCCC1=O,NMP,1049,0.5075379676642764,0.4254257434281635,0.5501069260190936
XGBoost,2D-Elec,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9263066258033507,0.1535256790007305,0.21795414676468342
XGBoost,2D-Elec,44,CS(C)=O,DMSO,1076,0.40903835096827224,0.6547673059211112,0.7929299151209269
XGBoost,2D-Elec,44,OCCO,Ethylene glycol,1111,0.7636207680365751,0.3815946168397485,0.5111963281268311
RandomForest,2D-Elec,44,C1CCCCC1,Cyclohexane,1142,0.49014765918913605,0.7723542720739699,1.0209959885569633
RandomForest,2D-Elec,44,CN1CCCC1=O,NMP,1049,0.030149877876836317,0.5919638289596156,0.7719924424843203
RandomForest,2D-Elec,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9578519170556727,0.11122458277852235,0.16483135481129277
RandomForest,2D-Elec,44,CS(C)=O,DMSO,1076,-0.1497475429181303,0.886450192748165,1.1060032395734314
RandomForest,2D-Elec,44,OCCO,Ethylene glycol,1111,0.7048066782315079,0.422137098824658,0.571263308930159
ExtraTrees,2D-Elec,44,C1CCCCC1,Cyclohexane,1142,0.463349351131218,0.8123559805335737,1.047484623290456
ExtraTrees,2D-Elec,44,CN1CCCC1=O,NMP,1049,0.35261820021777657,0.5165918686762281,0.6307263561114689
ExtraTrees,2D-Elec,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9611141035479348,0.10277316565763914,0.15832407994851128
ExtraTrees,2D-Elec,44,CS(C)=O,DMSO,1076,-0.014329834647473394,0.8386104894096573,1.0388306478436673
ExtraTrees,2D-Elec,44,OCCO,Ethylene glycol,1111,0.6511383431821959,0.437265902152801,0.6210258623634919
HistGradientBoosting,2D-Elec,44,C1CCCCC1,Cyclohexane,1142,0.5101025012605429,0.8083112040435052,1.0008164568594657
HistGradientBoosting,2D-Elec,44,CN1CCCC1=O,NMP,1049,0.36071034514866795,0.4930307734555181,0.6267719824461289
HistGradientBoosting,2D-Elec,44,CCCOC(C)=O,n-Propyl acetate,1046,0.926694518357444,0.15449597405161525,0.2173797780698677
HistGradientBoosting,2D-Elec,44,CS(C)=O,DMSO,1076,-0.14103591744201704,0.9081797825145984,1.1018051846312256
HistGradientBoosting,2D-Elec,44,OCCO,Ethylene glycol,1111,0.6593801426109626,0.45204887008166034,0.6136461989405959
